# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-15T00:00:00.0
# Date end (ISO 8601): 2022-07-16T00:00:00.0
# Latitude (positive North, ISO 19115): 41.8900
# Longitude (positive East, ISO 19115): 12.4900
# Altitude (m): 39.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2022-07-24
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-19T03:00:00.0/2022-06-19T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T04:00:00.0/2022-06-19T05:00:00.0;30.3755;10.2316;3.0484;7.1832;48.0861;7.8738;0.6100;7.2638;7.5879;1.0000
2022-06-19T05:00:00.0/2022-06-19T06:00:00.0;232.7247;123.1260;72.5829;50.5431;384.9869;111.6054;64.7934;46.8121;334.8073;1.0000
2022-06-19T06:00:00.0/2022-06-19T07:00:00.0;467.2205;304.0901;220.9283;83.1618;616.7416;287.7604;216.0482;71.7122;602.3400;1.0000
2022-06-19T07:00:00.0/2022-06-19T08:00:00.0;693.7245;495.2355;391.3653;103.8702;741.5108;478.8629;388.8348;90.0281;736.5782;1.0000
2022-06-19T08:00:00.0/2022-06-19T09:00:00.0;896.8009;672.1617;554.9012;117.2604;814.9703;658.4182;554.8882;103.5300;814.8351;1.0000
2022-06-19T09:00:00.0/2022-06-19T10:00:00.0;1062.6105;818.8444;693.0457;125.7988;859.6838;809.4894;697.7421;111.7474;865.4619;1.0000
2022-06-19T10:00:00.0/2022-06-19T11:00:00.0;1179.8535;922.6868;791.8628;130.8240;884.9358;915.8998;799.9271;115.9727;893.9368;1.0000
2022-06-19T11:00:00.0/2022-06-19T12:00:00.0;1240.5405;975.9234;842.9643;132.9591;896.0574;970.2439;852.6584;117.5856;906.3610;1.0000
2022-06-19T12:00:00.0/2022-06-19T13:00:00.0;1240.5367;974.9771;842.6638;132.3133;895.7358;969.5073;852.2176;117.2897;905.8899;1.0000
2022-06-19T13:00:00.0/2022-06-19T14:00:00.0;1179.8441;922.7592;798.2062;124.5530;892.0924;915.8491;803.7567;112.0923;898.2603;1.0000
2022-06-19T14:00:00.0/2022-06-19T15:00:00.0;1062.6011;822.0352;709.6255;112.4097;880.4167;812.0242;709.3422;102.6821;879.9747;1.0000
2022-06-19T15:00:00.0/2022-06-19T16:00:00.0;896.7999;679.3734;581.3325;98.0408;854.1594;664.3419;574.6168;89.7251;844.0839;1.0000
2022-06-19T16:00:00.0/2022-06-19T17:00:00.0;693.7424;504.9259;420.7476;84.1784;797.7148;486.9657;411.8406;75.1251;780.6597;1.0000
2022-06-19T17:00:00.0/2022-06-19T18:00:00.0;467.2685;314.7643;247.3950;67.3693;692.2872;296.8431;238.4034;58.4397;666.3318;1.0000
2022-06-19T18:00:00.0/2022-06-19T19:00:00.0;232.8133;131.7828;89.3638;42.4190;480.4866;118.5524;79.6146;38.9378;418.9101;1.0000
2022-06-19T19:00:00.0/2022-06-19T20:00:00.0;30.4148;11.3773;4.7050;6.6723;75.5137;8.4605;1.4507;7.0098;18.8218;1.0000
2022-06-19T20:00:00.0/2022-06-19T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T21:00:00.0/2022-06-19T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T22:00:00.0/2022-06-19T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T23:00:00.0/2022-06-20T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T00:00:00.0/2022-06-20T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T01:00:00.0/2022-06-20T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T02:00:00.0/2022-06-20T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T03:00:00.0/2022-06-20T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T04:00:00.0/2022-06-20T05:00:00.0;30.4471;11.2423;4.5414;6.7008;72.6337;8.6318;1.5537;7.0781;20.2829;1.0000
2022-06-20T05:00:00.0/2022-06-20T06:00:00.0;232.8644;130.8809;88.4694;42.4115;474.8325;118.5072;79.9564;38.5508;421.0093;1.0000
2022-06-20T06:00:00.0/2022-06-20T07:00:00.0;467.3008;313.6417;247.2022;66.4396;691.4792;296.4854;239.0303;57.4551;667.9757;1.0000
2022-06-20T07:00:00.0/2022-06-20T08:00:00.0;693.7484;503.6225;421.8115;81.8110;799.6036;486.3351;413.0160;73.3192;782.8065;1.0000
2022-06-20T08:00:00.0/2022-06-20T09:00:00.0;896.7750;678.7628;586.4695;92.2933;861.4510;664.2184;578.5512;85.6673;849.6805;1.0000
2022-06-20T09:00:00.0/2022-06-20T10:00:00.0;1062.5443;823.8529;724.1107;99.7422;898.2343;813.8516;719.7548;94.0968;892.7725;1.0000
2022-06-20T10:00:00.0/2022-06-20T11:00:00.0;1179.7589;928.4673;819.8267;108.6407;916.1733;920.7330;819.7272;101.0058;916.0304;1.0000
2022-06-20T11:00:00.0/2022-06-20T12:00:00.0;1240.4307;984.6747;867.0409;117.6338;921.6050;977.5304;871.1333;106.3971;925.9477;1.0000
2022-06-20T12:00:00.0/2022-06-20T13:00:00.0;1240.4253;987.4789;862.8099;124.6691;917.0817;979.5170;868.8732;110.6437;923.5267;1.0000
2022-06-20T13:00:00.0/2022-06-20T14:00:00.0;1179.7443;928.9320;789.2954;139.6366;881.7811;920.7993;799.9634;120.8359;893.7462;1.0000
2022-06-20T14:00:00.0/2022-06-20T15:00:00.0;1062.5245;816.2603;661.1999;155.0604;819.6417;806.8199;674.9329;131.8871;836.7173;1.0000
2022-06-20T15:00:00.0/2022-06-20T16:00:00.0;896.7565;660.9841;499.6464;161.3377;732.9037;648.2134;512.7311;135.4823;752.1938;1.0000
2022-06-20T16:00:00.0/2022-06-20T17:00:00.0;693.7391;481.9242;339.4456;142.4786;642.5770;466.3827;346.3763;120.0064;655.4310;1.0000
2022-06-20T17:00:00.0/2022-06-20T18:00:00.0;467.3090;292.8140;184.4856;108.3284;513.5538;276.6725;183.2445;93.4280;509.0085;1.0000
2022-06-20T18:00:00.0/2022-06-20T19:00:00.0;232.8982;116.1764;54.9050;61.2714;285.8387;104.5320;46.9882;57.5439;234.0015;1.0000
2022-06-20T19:00:00.0/2022-06-20T20:00:00.0;30.5013;9.4119;1.4815;7.9304;22.3344;7.0440;0.0138;7.0302;0.1584;1.0000
2022-06-20T20:00:00.0/2022-06-20T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T21:00:00.0/2022-06-20T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T22:00:00.0/2022-06-20T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T23:00:00.0/2022-06-21T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T00:00:00.0/2022-06-21T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T01:00:00.0/2022-06-21T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T02:00:00.0/2022-06-21T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T03:00:00.0/2022-06-21T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T04:00:00.0/2022-06-21T05:00:00.0;30.4928;7.4920;0.2889;7.2031;4.5409;5.5352;0.0000;5.5352;0.0000;1.0000
2022-06-21T05:00:00.0/2022-06-21T06:00:00.0;232.9030;87.9650;17.4852;70.4797;86.6469;78.7614;8.0751;70.6863;35.8390;1.0000
2022-06-21T06:00:00.0/2022-06-21T07:00:00.0;467.2946;239.0422;89.8326;149.2096;246.8870;221.6046;83.4129;138.1917;224.7354;1.0000
2022-06-21T07:00:00.0/2022-06-21T08:00:00.0;693.7001;416.9814;204.0976;212.8839;384.8195;409.0814;224.3530;184.7284;422.6310;1.0000
2022-06-21T08:00:00.0/2022-06-21T09:00:00.0;896.6897;588.0676;328.4458;259.6218;481.5237;536.8467;280.6082;256.2385;412.9308;1.0000
2022-06-21T09:00:00.0/2022-06-21T10:00:00.0;1062.4291;731.5596;439.6808;291.8789;545.0250;715.9580;462.6604;253.2977;573.0242;1.0000
2022-06-21T10:00:00.0/2022-06-21T11:00:00.0;1179.6226;833.8510;520.1172;313.7337;581.1163;823.3455;546.0752;277.2704;609.4072;1.0000
2022-06-21T11:00:00.0/2022-06-21T12:00:00.0;1240.2828;886.2893;559.8822;326.4072;595.0972;854.1600;543.5137;310.6462;578.1871;1.0000
2022-06-21T12:00:00.0/2022-06-21T13:00:00.0;1240.2759;884.5295;555.1498;329.3797;590.0486;876.5181;596.9376;279.5804;634.7401;1.0000
2022-06-21T13:00:00.0/2022-06-21T14:00:00.0;1179.6027;831.9521;513.8637;318.0884;574.1415;839.4483;583.3098;256.1385;651.7037;1.0000
2022-06-21T14:00:00.0/2022-06-21T15:00:00.0;1062.3990;731.0519;436.1314;294.9205;540.6605;733.1731;491.5460;241.6271;609.3109;1.0000
2022-06-21T15:00:00.0/2022-06-21T16:00:00.0;896.6537;588.8672;328.8521;260.0150;482.2346;584.5634;367.3602;217.2032;538.5494;1.0000
2022-06-21T16:00:00.0/2022-06-21T17:00:00.0;693.6636;418.2821;206.1736;212.1085;388.8022;409.3500;224.8462;184.5038;423.5659;1.0000
2022-06-21T17:00:00.0/2022-06-21T18:00:00.0;467.2632;240.0514;91.1332;148.9183;250.4141;228.5503;91.1237;137.4266;248.4296;1.0000
2022-06-21T18:00:00.0/2022-06-21T19:00:00.0;232.8819;88.1511;17.4306;70.7205;86.0206;79.9325;9.4254;70.5072;40.8267;1.0000
2022-06-21T19:00:00.0/2022-06-21T20:00:00.0;30.4958;7.4781;0.2591;7.2191;4.0808;5.3935;0.0000;5.3935;0.0000;1.0000
2022-06-21T20:00:00.0/2022-06-21T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T21:00:00.0/2022-06-21T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T22:00:00.0/2022-06-21T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T23:00:00.0/2022-06-22T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T00:00:00.0/2022-06-22T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T01:00:00.0/2022-06-22T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T02:00:00.0/2022-06-22T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T03:00:00.0/2022-06-22T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T04:00:00.0/2022-06-22T05:00:00.0;30.4757;7.4503;0.2547;7.1957;3.9995;5.5210;0.0000;5.5210;0.0000;1.0000
2022-06-22T05:00:00.0/2022-06-22T06:00:00.0;232.8405;88.6115;18.2844;70.3271;90.0761;81.0807;10.8751;70.2055;47.4963;1.0000
2022-06-22T06:00:00.0/2022-06-22T07:00:00.0;467.2021;242.5498;96.4410;146.1089;264.9506;231.9016;97.9135;133.9880;267.2289;1.0000
2022-06-22T07:00:00.0/2022-06-22T08:00:00.0;693.5794;425.0978;222.2048;202.8930;418.8281;413.7797;236.8477;176.9320;446.9418;1.0000
2022-06-22T08:00:00.0/2022-06-22T09:00:00.0;896.5445;601.8284;361.7384;240.0900;530.2570;576.5298;361.4482;215.0817;528.6211;1.0000
2022-06-22T09:00:00.0/2022-06-22T10:00:00.0;1062.2643;751.0973;488.4846;262.6127;605.4913;743.6441;519.3835;224.2606;644.4868;1.0000
2022-06-22T10:00:00.0/2022-06-22T11:00:00.0;1179.4437;855.5984;573.6194;281.9790;640.9612;800.1251;479.4473;320.6778;536.7831;1.0000
2022-06-22T11:00:00.0/2022-06-22T12:00:00.0;1240.0962;908.4411;611.3084;297.1327;649.7829;892.2446;618.9318;273.3128;657.4148;1.0000
2022-06-22T12:00:00.0/2022-06-22T13:00:00.0;1240.0875;906.9011;602.7890;304.1121;640.6940;824.8937;497.1633;327.7304;527.9783;1.0000
2022-06-22T13:00:00.0/2022-06-22T14:00:00.0;1179.4182;853.9503;558.9997;294.9506;624.6141;747.9440;401.7281;346.2159;447.1282;1.0000
2022-06-22T14:00:00.0/2022-06-22T15:00:00.0;1062.2234;752.0940;478.7765;273.3175;593.6371;560.6517;170.6758;389.9758;211.4571;1.0000
2022-06-22T15:00:00.0/2022-06-22T16:00:00.0;896.4906;608.2643;366.3586;241.9057;537.4168;419.5532;96.6860;322.8672;139.5197;1.0000
2022-06-22T16:00:00.0/2022-06-22T17:00:00.0;693.5153;435.3501;236.5307;198.8194;446.6188;244.3499;6.1091;238.2408;10.8313;1.0000
2022-06-22T17:00:00.0/2022-06-22T18:00:00.0;467.1307;253.4804;111.7534;141.7270;308.4361;176.0428;31.2387;144.8041;97.8094;1.0000
2022-06-22T18:00:00.0/2022-06-22T19:00:00.0;232.7648;94.7666;24.8363;69.9303;124.8758;85.7444;16.5457;69.1987;74.8034;1.0000
2022-06-22T19:00:00.0/2022-06-22T20:00:00.0;30.4347;7.9362;0.4777;7.4585;7.4440;5.7692;0.0000;5.7692;0.0000;1.0000
2022-06-22T20:00:00.0/2022-06-22T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T21:00:00.0/2022-06-22T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T22:00:00.0/2022-06-22T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T23:00:00.0/2022-06-23T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-23T00:00:00.0/2022-06-23T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-23T01:00:00.0/2022-06-23T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-23T02:00:00.0/2022-06-23T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-23T03:00:00.0/2022-06-23T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-23T04:00:00.0/2022-06-23T05:00:00.0;30.4079;7.6032;0.3626;7.2406;5.6594;4.1454;0.0000;4.1454;0.0000;1.0000
2022-06-23T05:00:00.0/2022-06-23T06:00:00.0;232.6775;90.9207;21.5057;69.4150;107.2764;37.6313;0.0000;37.6313;0.0000;1.0000
2022-06-23T06:00:00.0/2022-06-23T07:00:00.0;467.0227;245.9521;103.3255;142.6265;284.6880;131.9126;0.2916;131.6210;0.9417;1.0000
2022-06-23T07:00:00.0/2022-06-23T08:00:00.0;693.3854;425.0176;225.7151;199.3025;425.9872;211.2202;0.0000;211.2202;0.0000;1.0000
2022-06-23T08:00:00.0/2022-06-23T09:00:00.0;896.3381;595.5682;355.8181;239.7500;521.8688;266.2777;0.3833;265.8944;0.5980;1.0000
2022-06-23T09:00:00.0/2022-06-23T10:00:00.0;1062.0481;737.8338;470.7566;267.0772;583.6502;294.6283;0.0000;294.6283;0.0000;1.0000
2022-06-23T10:00:00.0/2022-06-23T11:00:00.0;1179.2207;841.3517;565.6264;275.7253;631.9160;360.0622;2.0415;358.0207;2.3313;1.0000
2022-06-23T11:00:00.0/2022-06-23T12:00:00.0;1239.8691;896.2874;625.5141;270.7733;664.8761;362.0868;6.9190;355.1678;7.2968;1.0000
2022-06-23T12:00:00.0/2022-06-23T13:00:00.0;1239.8589;897.8860;639.1214;258.7646;679.3944;543.1898;126.0514;417.1383;134.2576;1.0000
2022-06-23T13:00:00.0/2022-06-23T14:00:00.0;1179.1901;840.4835;579.2859;261.1976;647.1063;518.2034;118.1158;400.0876;132.6700;1.0000
2022-06-23T14:00:00.0/2022-06-23T15:00:00.0;1061.9969;730.9855;467.4149;263.5706;579.1636;606.0140;291.2362;314.7778;359.5828;1.0000
2022-06-23T15:00:00.0/2022-06-23T16:00:00.0;896.2668;580.8140;330.3042;250.5098;483.8304;369.0686;62.4612;306.6075;90.5050;1.0000
2022-06-23T16:00:00.0/2022-06-23T17:00:00.0;693.2941;410.4088;201.7816;208.6272;380.7101;234.9803;12.3240;222.6562;21.7263;1.0000
2022-06-23T17:00:00.0/2022-06-23T18:00:00.0;466.9117;235.9378;90.3183;145.6195;248.5200;115.3104;0.0052;115.3053;0.0117;1.0000
2022-06-23T18:00:00.0/2022-06-23T19:00:00.0;232.5470;86.8100;17.9733;68.8367;89.3687;62.4473;0.0000;62.4473;0.0000;1.0000
2022-06-23T19:00:00.0/2022-06-23T20:00:00.0;30.3175;7.3087;0.2930;7.0156;4.5736;5.2425;0.0000;5.2425;0.0000;1.0000
2022-06-23T20:00:00.0/2022-06-23T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-23T21:00:00.0/2022-06-23T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-23T22:00:00.0/2022-06-23T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-23T23:00:00.0/2022-06-24T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-24T00:00:00.0/2022-06-24T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-24T01:00:00.0/2022-06-24T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-24T02:00:00.0/2022-06-24T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-24T03:00:00.0/2022-06-24T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-24T04:00:00.0/2022-06-24T05:00:00.0;30.2468;7.7715;0.4605;7.3110;7.1622;5.8222;0.0000;5.8222;0.0000;1.0000
2022-06-24T05:00:00.0/2022-06-24T06:00:00.0;232.4135;95.6965;27.3434;68.3531;136.7643;45.4661;0.0000;45.4661;0.0000;1.0000
2022-06-24T06:00:00.0/2022-06-24T07:00:00.0;466.7571;260.9700;128.4977;132.4722;354.4901;55.0027;0.0000;55.0027;0.0000;1.0000
2022-06-24T07:00:00.0/2022-06-24T08:00:00.0;693.1194;450.5749;276.7173;173.8575;522.5160;170.0278;9.8520;160.1759;16.4867;1.0000
2022-06-24T08:00:00.0/2022-06-24T09:00:00.0;896.0723;630.9374;435.0197;195.9177;638.1061;332.7290;48.0851;284.6439;72.8648;1.0000
2022-06-24T09:00:00.0/2022-06-24T10:00:00.0;1061.7831;782.3758;578.8627;203.5131;717.7621;257.3264;0.0000;257.3264;0.0000;1.0000
2022-06-24T10:00:00.0/2022-06-24T11:00:00.0;1178.9562;885.8657;673.4997;212.3660;752.7393;538.9888;202.7955;336.1932;222.7458;1.0000
2022-06-24T11:00:00.0/2022-06-24T12:00:00.0;1239.6042;936.2068;715.7034;220.5034;760.8765;871.3624;644.7437;226.6187;685.7029;1.0000
2022-06-24T12:00:00.0/2022-06-24T13:00:00.0;1239.5924;932.3405;708.7111;223.6293;753.4170;724.9025;366.9219;357.9806;390.6638;1.0000
2022-06-24T13:00:00.0/2022-06-24T14:00:00.0;1178.9202;875.9625;656.4576;219.5048;733.6373;846.0747;644.5279;201.5469;719.9420;1.0000
2022-06-24T14:00:00.0/2022-06-24T15:00:00.0;1061.7217;770.7914;562.0649;208.7264;697.1091;532.8162;211.2836;321.5327;258.4165;1.0000
2022-06-24T15:00:00.0/2022-06-24T16:00:00.0;895.9836;624.8712;433.8731;190.9981;636.8570;530.0375;290.9976;239.0399;434.2257;1.0000
2022-06-24T16:00:00.0/2022-06-24T17:00:00.0;693.0010;453.4207;291.6803;161.7404;551.9819;395.8230;205.2044;190.6186;384.3064;1.0000
2022-06-24T17:00:00.0/2022-06-24T18:00:00.0;466.6066;271.4533;150.6629;120.7904;418.4069;225.2099;94.3681;130.8418;256.7967;1.0000
2022-06-24T18:00:00.0/2022-06-24T19:00:00.0;232.2283;104.5557;39.1625;65.3932;200.0498;87.6095;21.2812;66.3283;103.8663;1.0000
2022-06-24T19:00:00.0/2022-06-24T20:00:00.0;30.1395;8.3474;0.7421;7.6053;11.2983;6.1834;0.0000;6.1834;0.0000;1.0000
2022-06-24T20:00:00.0/2022-06-24T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-24T21:00:00.0/2022-06-24T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-24T22:00:00.0/2022-06-24T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-24T23:00:00.0/2022-06-25T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-25T00:00:00.0/2022-06-25T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-25T01:00:00.0/2022-06-25T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-25T02:00:00.0/2022-06-25T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-25T03:00:00.0/2022-06-25T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-25T04:00:00.0/2022-06-25T05:00:00.0;30.0665;7.6915;0.4289;7.2626;6.7293;4.1103;0.0000;4.1103;0.0000;1.0000
2022-06-25T05:00:00.0/2022-06-25T06:00:00.0;232.0487;92.1036;23.4947;68.6089;118.5326;15.8105;0.0000;15.8105;0.0000;1.0000
2022-06-25T06:00:00.0/2022-06-25T07:00:00.0;466.4055;244.1943;102.5606;141.6337;283.6824;60.0398;0.0000;60.0398;0.0000;1.0000
2022-06-25T07:00:00.0/2022-06-25T08:00:00.0;692.7814;422.5259;224.8576;197.6683;424.3616;88.8685;0.0000;88.8685;0.0000;1.0000
2022-06-25T08:00:00.0/2022-06-25T09:00:00.0;895.7474;595.2784;361.8360;233.4424;530.7746;159.7123;0.0000;159.7123;0.0000;1.0000
2022-06-25T09:00:00.0/2022-06-25T10:00:00.0;1061.4691;740.1649;485.0626;255.1023;601.5612;465.2660;114.7975;350.4684;139.4902;1.0000
2022-06-25T10:00:00.0/2022-06-25T11:00:00.0;1178.6500;838.8574;556.5872;282.2702;622.2629;585.6696;181.3394;404.3302;203.0847;1.0000
2022-06-25T11:00:00.0/2022-06-25T12:00:00.0;1239.3016;886.0266;575.9256;310.1010;612.4039;798.9903;484.2751;314.7152;513.9418;1.0000
2022-06-25T12:00:00.0/2022-06-25T13:00:00.0;1239.2882;879.8925;555.1542;324.7383;590.2349;835.8739;490.8328;345.0411;522.0448;1.0000
2022-06-25T13:00:00.0/2022-06-25T14:00:00.0;1178.6088;828.8798;516.8550;312.0247;577.7874;833.8598;577.8995;255.9603;646.1881;1.0000
2022-06-25T14:00:00.0/2022-06-25T15:00:00.0;1061.3975;732.6144;452.7961;279.8184;561.8578;719.1995;471.8778;247.3218;583.8961;1.0000
2022-06-25T15:00:00.0/2022-06-25T16:00:00.0;895.6413;595.3696;356.7940;238.5757;523.9632;577.9698;365.0564;212.9135;537.8966;1.0000
2022-06-25T16:00:00.0/2022-06-25T17:00:00.0;692.6359;424.9931;228.5789;196.4142;431.6140;415.2624;243.8321;171.4302;460.0129;1.0000
2022-06-25T17:00:00.0/2022-06-25T18:00:00.0;466.2153;244.2665;102.6127;141.6538;282.7405;232.2882;101.6230;130.6651;278.1144;1.0000
